pmProductId,dataexhaustiontimeorder,commonrule|fairuserpolicyrule|datapolicy,commonrule|fairuserpolicyrule|smspolicy,commonrule|fairuserpolicyrule|voicepolicy,commonrule|generaldataexceedlimitrule|maximumamountlimit,commonrule|generaldataexceedlimitrule|qosafterthreshold,commonrule|legalrepresentativechangeeligibility,linesuspensioncondition,dailyplanchangelimit,monthlyplanchangelimit,commonrule|seniordataexceedlimitrule|maximumamountlimit,commonrule|seniordataexceedlimitrule|qosafterthreshold,smssendinglimitthreshold
PA00000047,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000048,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000049,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000050,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000051,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000052,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000053,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000054,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000055,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000056,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000057,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000058,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000059,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000060,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000061,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000062,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000063,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000064,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000065,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000066,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000067,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000068,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000069,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000070,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000071,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000072,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000073,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000074,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000075,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000076,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000077,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000078,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000079,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000080,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000081,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000082,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000083,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000084,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000085,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000086,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000087,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000088,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000089,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000090,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000091,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000092,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000093,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000094,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000095,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000096,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000097,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000098,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000099,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000100,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000101,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000102,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000103,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000104,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000105,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000106,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000107,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000108,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000109,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000228,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000231,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000693,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002803,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002804,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002805,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002806,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002807,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002808,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002809,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002810,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002811,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002812,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002813,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002814,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00002815,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
