benefitInformation.pmBenefitCode,benefitInformation.benefitName,appliedDiscountProduct,product,pmProductId,legacyProductId,discountType,discountAmount,maxDiscountAmount,benefitType,benefitInformation.marketingKeyword
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터', 'pmProductId': 'PB00000225', 'legacyProductId': 'NA00006577'}]",0 청년 다이렉트 69(T 우주),PA00000090,NA00008154,정률할인,100%,9900원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터', 'pmProductId': 'PB00000225', 'legacyProductId': 'NA00006577'}]",0 청년 99(T 우주),PA00000106,NA00008139,정률할인,100%,9900원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 플러스', 'pmProductId': 'PB00000227', 'legacyProductId': 'NA00006584'}]",다이렉트5G 69(T 우주),PA00000010,NA00008100,정률할인,100%,12300원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 플러스', 'pmProductId': 'PB00000227', 'legacyProductId': 'NA00006584'}]",5GX 플래티넘(T 우주),PA00000060,NA00007789,정률할인,100%,12300원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 플러스', 'pmProductId': 'PB00000227', 'legacyProductId': 'NA00006584'}]",5GX 프라임플러스(T 우주),PA00000080,NA00007622,정률할인,100%,12300원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 플러스', 'pmProductId': 'PB00000227', 'legacyProductId': 'NA00006584'}]",0 청년 다이렉트 69(T 우주),PA00000090,NA00008154,정률할인,100%,12300원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 플러스', 'pmProductId': 'PB00000227', 'legacyProductId': 'NA00006584'}]",0 청년 99(T 우주),PA00000106,NA00008139,정률할인,100%,12300원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 프리미엄', 'pmProductId': 'PB00000231', 'legacyProductId': 'NA00007615'}]",다이렉트5G 69(T 우주),PA00000010,NA00008100,정률할인,100%,15900원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 프리미엄', 'pmProductId': 'PB00000231', 'legacyProductId': 'NA00007615'}]",5GX 플래티넘(T 우주),PA00000060,NA00007789,정률할인,100%,15900원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
BA00000041,Wavve 무료,"[{'product': 'Wavve 앤 데이터 프리미엄', 'pmProductId': 'PB00000231', 'legacyProductId': 'NA00007615'}]",5GX 프라임플러스(T 우주),PA00000080,NA00007622,정률할인,100%,15900원,요금 할인,"['VOD', '본방', '이용권', '콘텐츠', '동영상', '다시보기', '실시간', '라이브', '웨이브', 'OTT', '요금제할인', 'wavve', '웨이브할인', '콘텐츠할인', 'wavve앤데이터플러스', 'wavve앤데이터', 'wave', 'wavve앤데이터프리미엄', 'wavve무료', 'wave무료', '요금제혜택', '웨이브무료']"
