pmProductId,approvalinfo,classifiedgroup,generation,lineup,marketingkeyword,productdescription,productid,productnameinenglish,productoperationperiod,productrequirednotice,productsubscriptioncondition,productsubscriptionmethod,statusofoperation,versioninfo,productoperationperiodFrom,productoperationperiodTo,billingmethod,monthlypricewithoutvat,monthlypricewithselectableinstallment,monthlyprice
PA00002806,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,['5G'],다이렉트5G 디즈니+ 요금제,['T다샵'],무제한 데이터와 디즈니 플러스 멤버십을 제공하는 디즈니 플러스 전용 요금제로 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00002806,Direct5G 76(Disney+),2025.02.04~2042.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 만 19세 이상 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-02-04,2042-12-31,후불,69091,76000,76000
PA00002807,,상품 > 기본요금제 > 휴대폰 요금제,[nan],0청년 디즈니+ 요금제,"['로밍쿠폰', '영화쿠폰', '디즈니', '커피할인', '데이터무제한', '로밍할인', 'Disney', '커피', 'OTT할인', '영화', 'baro50%', '혜택요금제', '커피50%', 'Wavve', 'wavve혜택', '만34세이하', '영화50%', '커피쿠폰', '영화할인', '스트리밍', '로밍', '디즈니플러스']",무제한 데이터와 0청년 특화 혜택 외 디즈니 플러스 멤버십을 제공하는 만 19세 이상 34세 이하 개인고객만 가입 가능한 디즈니 플러스 전용 요금제,PA00002807,0 Youth 109(Disney+),2025.02.04~9999.12.31,,만 19세 이상~34세 이하 고객 가입 가능(고객당 1번만 가입 가능),"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-02-04,2262-04-11,후불,99091,81720,109000
PA00002808,요금팀/김혜진,상품 > 기본요금제,"['LTE', '5G']",5GX플랜 유튜브 프리미엄 요금제,"['태블릿기기할인', '유튜브혜택', '단말보험할인', '유튜브요금제', '태블릿요금무료', '혜택요금제', '5GX플랜', '스마트워치요금무료', '스마트워치기기할인', '유튜브무료제공요금제', '데이터무제한', '스마트폰기기할인', '멤버십VIP', 'YoutubePremium혜택']",무제한 데이터와 유튜브 프리미엄멤버십을 제공하는 유튜브 혜택 특화 전용 요금제,PA00002808,5GX Premium(Youtube Premium),2025.01.23~9999.12.31,,"19세 이상 성인, 고객 명의당 1개만 가입 가능","고객센터, 대리점, T월드 가입 가능",False,1.0,2025-01-23,2262-04-11,후불,99091,81720,109000
PA00002809,요금팀/김혜진,상품 > 기본요금제,"['LTE', '5G']",5GX플랜 디즈니+ 요금제,"['단말보험할인', 'Disney', '데이터무제한', '5GX플랜', '멤버십VIP', '스마트폰기기할인', '스마트워치요금무료', '태블릿기기할인', '디즈니', '태블릿요금무료', '디즈니플러스', '혜택요금제', '스마트워치기기할인']",무제한 데이터와 디즈니 플러스 멤버십을 제공하는 디즈니 플러스 전용 요금제,PA00002809,5GX Premium(Disney+),2025.02.04~9999.12.31,,"19세 이상 성인, 고객 명의당 1개만 가입 가능","고객센터, 대리점, T월드 가입 가능",False,1.0,2025-02-04,2262-04-11,후불,99091,81720,109000
PA00002810,요금팀/김혜진,상품 > 기본요금제 > 휴대폰 요금제,['5G'],5GX플랜 스마트기기 요금제,"['태블릿요금무료', '스마트워치기기할인', '스마트폰기기할인', '스마트워치요금무료', '데이터무제한', '단말보험할인', '혜택요금제', '태블릿기기할인', '스마트기기', '5GX플랜', '애플워치', '갤럭시워치', '멤버십VIP']",무제한 데이터와 스마트 기기 device 할인 멤버십을 제공하는 스마트 기기 전용 요금제,PA00002810,5GX Premium (Smart Device),2025.01.23~9999.12.31,,"19세 이상 성인, 고객 명의당 1개만 가입 가능","고객센터, 대리점, T월드 가입 가능",False,1.0,2025-01-23,2262-04-11,후불,99091,81720,109000
PA00002811,요금팀/조국재,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",0청년 스마트기기 요금제,"['Wavve', '로밍할인', '스마트기기', '커피', '갤럭시워치', '커피50%', '혜택요금제', '스트리밍', '영화50%', '애플워치', '영화', 'baro50%', '커피할인', '커피쿠폰', '데이터무제한', '영화쿠폰', '로밍쿠폰', '로밍', 'wavve혜택', '영화할인', '만34세이하']",무제한 데이터와 0청년 특화 혜택 외 스마트 기기 device 할인을 제공하는 만 19세 이상 34세 이하 개인고객만 가입 가능한 스마트 기기 전용 요금제,PA00002811,0 Youth 109(Smart device),2025.01.23~9999.12.31,,만 19세 이상~34세 이하 고객 가입 가능(고객당 1번만 가입 가능),"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-01-23,2262-04-11,후불,99091,81720,109000
PA00002812,요금팀/조국재,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",0청년 유튜브 프리미엄 요금제,"['로밍할인', '데이터무제한', '커피할인', '영화50%', '유튜브요금제', '유튜브혜택', '영화', '커피쿠폰', 'Wavve', '커피', 'wavve혜택', 'baro50%', '영화쿠폰', 'YoutubePremium혜택', '혜택요금제', '로밍', '스트리밍', '로밍쿠폰', '영화할인', '만34세이하', '유튜브무료제공요금제', '커피50%']",무제한 데이터와 0청년 특화 혜택 외 유튜브 프리미엄 멤버십을 제공하는 만 19세 이상 34세 이하 개인고객만 가입 가능한 유튜브 프리미엄 전용 요금제,PA00002812,0 Youth 109(Youtube premium),2025.01.23~9999.12.31,,만 19세 이상~34세 이하 고객 가입 가능(고객당 1번만 가입 가능),"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-01-23,2262-04-11,후불,99091,81720,109000
PA00002813,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",다이렉트5G 스마트기기 요금제,"['쓰던폰', '유심개통', '태블릿기기할인', '자급제', '온라인전용요금제', '티다이렉트샵', 'Wavve', '스트리밍', '티다샵', 'VIP멤버십혜택', 'T다이렉트전용요금제', '스마트기기', '태블릿요금무료혜택', 'T다샵', '비대면', '혜택요금제', '애플워치', '스마트워치요금무료혜택', '스마트폰기기할인', '데이터무제한', '갤럭시워치', '스마트워치기기할인', 'USIM개통', '온라인', 'wavve혜택']",무제한 데이터와 스마트 기기 device 할인 멤버십을 제공하는 스마트 기기 전용 요금제로 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00002813,Direct5G 76(smart device),2025.01.23~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 만 19세 이상 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-01-23,2262-04-11,후불,69091,76000,76000
PA00002814,,상품 > 기본요금제 > 휴대폰 요금제,['LTE'],다이렉트5G 디즈니+ 요금제,"['VIP멤버십혜택', '자급제', '유심개통', '우주패스', 'T다샵', '쓰던폰', '디즈니혜택', '태블릿요금무료혜택', '티다샵', '스트리밍', '스마트워치요금무료혜택', '혜택요금제', 'T다이렉트전용요금제', '디즈니', '비대면', '티다이렉트샵', '디즈니플러스', 'USIM개통', '온라인전용요금제', 'OTT혜택', 'Disney', '데이터무제한', '온라인', 'wavve혜택', 'Wavve']",무제한 데이터와 디즈니 플러스 멤버십을 제공하는 디즈니 플러스 전용 요금제로 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00002814,Direct 5G 69(Disney+),2025.02.04~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 만 19세 이상 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-02-04,2262-04-11,후불,62728,69000,69000
PA00002815,요금팀/조국재,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",0청년 다이렉트 디즈니+ 요금제,"['로밍혜택', 'T다샵', '커피', '디즈니', 'OTT혜택', '스트리밍', '넷플릭스할인', 'Disney', 'wavve혜택', '커피혜택', '커피50%', '티다이렉트샵', '영화할인', '쓰던폰', '영화쿠폰', 'T다이렉트전용요금제', '로밍', '자급제', '유심개통', '데이터무제한', '혜택요금제', '온라인전용요금제', '커피쿠폰', '로밍할인', '영화혜택', '티다샵', '커피할인', 'Wavve', '디즈니플러스', 'USIM개통', 'baro50%', '로밍쿠폰', '영화', '영화50%', '만34세이하', '비대면', '온라인']",무제한 데이터와 0청년 특화 혜택 외 디즈니 플러스 멤버십을 제공하는 디즈니 플러스 전용 요금제로 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서 만 19세 이상 34세 이하 개인 고객만 가입 가능한 온라인 전용 무약정 요금제,PA00002815,0 Youth Direct 69(Disney+),2025.02.04~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 만 19세 이상 34세 이하 개인 고객 가입 가능(고객당 1번만 가입 가능),"고객센터, 대리점, T월드 가입 가능",False,1.0,2025-02-04,2262-04-11,후불,62728,69000,69000
