pmProductId,textrange,includedtext
PA00000001,0,999999.0
PA00000002,0,999999.0
PA00000003,0,999999.0
PA00000004,0,999999.0
PA00000005,0,999999.0
PA00000006,0,999999.0
PA00000007,0,999999.0
PA00000008,0,999999.0
PA00000009,0,999999.0
PA00000010,0,999999.0
PA00000011,0,999999.0
PA00000012,0,999999.0
PA00000013,0,999999.0
PA00000014,0,999999.0
PA00000015,0,999999.0
PA00000016,0,999999.0
PA00000017,0,999999.0
PA00000018,0,999999.0
PA00000019,0,999999.0
PA00000020,0,999999.0
PA00000021,0,999999.0
PA00000022,0,50.0
PA00000023,0,999999.0
PA00000024,0,999999.0
PA00000025,0,999999.0
PA00000026,0,999999.0
PA00000027,0,999999.0
PA00000028,0,999999.0
PA00000029,0,999999.0
PA00000030,0,999999.0
PA00000031,0,999999.0
PA00000032,0,999999.0
PA00000033,0,999999.0
PA00000034,0,999999.0
PA00000035,0,999999.0
PA00000036,0,999999.0
PA00000037,0,999999.0
PA00000038,0,999999.0
PA00000039,0,999999.0
PA00000040,0,999999.0
PA00000041,0,999999.0
PA00000042,0,999999.0
PA00000043,0,999999.0
PA00000044,0,999999.0
PA00000045,0,999999.0
PA00000046,0,999999.0
PA00000047,0,999999.0
PA00000048,0,999999.0
PA00000049,0,999999.0
PA00000050,0,999999.0
PA00000051,0,999999.0
PA00000052,0,999999.0
PA00000053,0,999999.0
PA00000054,0,999999.0
PA00000055,0,999999.0
PA00000056,0,999999.0
PA00000057,0,999999.0
PA00000058,0,999999.0
PA00000059,0,999999.0
PA00000060,0,999999.0
PA00000061,0,999999.0
PA00000062,0,999999.0
PA00000063,0,999999.0
PA00000064,0,999999.0
PA00000065,0,999999.0
PA00000066,0,999999.0
PA00000067,0,999999.0
PA00000068,0,999999.0
PA00000069,0,999999.0
PA00000070,0,999999.0
PA00000071,0,999999.0
PA00000072,0,999999.0
PA00000073,0,999999.0
PA00000074,0,999999.0
PA00000075,0,999999.0
PA00000076,0,999999.0
PA00000077,0,999999.0
PA00000078,0,999999.0
PA00000079,0,999999.0
PA00000080,0,999999.0
PA00000081,0,999999.0
PA00000082,0,999999.0
PA00000083,0,999999.0
PA00000084,0,999999.0
PA00000085,0,999999.0
PA00000086,0,999999.0
PA00000087,0,999999.0
PA00000088,0,999999.0
PA00000089,0,999999.0
PA00000090,0,999999.0
PA00000091,0,999999.0
PA00000092,0,999999.0
PA00000093,0,999999.0
PA00000094,0,999999.0
PA00000095,0,80.0
PA00000096,0,999999.0
PA00000097,0,999999.0
PA00000098,0,999999.0
PA00000099,0,999999.0
PA00000100,0,999999.0
PA00000101,0,999999.0
PA00000102,0,999999.0
PA00000103,0,999999.0
PA00000104,0,999999.0
PA00000105,0,999999.0
PA00000106,0,999999.0
PA00000107,0,999999.0
PA00000108,0,999999.0
PA00000109,0,999999.0
PA00000228,0,999999.0
PA00000231,0,999999.0
PA00000693,0,999999.0
PA00002803,0,999999.0
PA00002804,0,999999.0
PA00002805,0,999999.0
PA00002806,0,999999.0
PA00002807,0,999999.0
PA00002808,0,999999.0
PA00002809,0,999999.0
PA00002810,0,999999.0
PA00002811,0,999999.0
PA00002812,0,999999.0
PA00002813,0,999999.0
PA00002814,0,999999.0
PA00002815,0,999999.0
